Target Pattern Name,Target Pattern Description,Prefix,Per minute charge,Connection charge,Charge period
Afghanistan,Areeba Mobile,9377,"0.273","0.273",1
Afghanistan,Roshan Mobile,9379,"0.255","0.255",1
Afghanistan,Mobile,937,"0.261","0.261",1
Afghanistan,Areeba Mobile,9376,"0.273","0.273",1
Afghanistan,Etilasat Mobile,9378,"0.231","0.231",1
Afghanistan,Awcc Mobile,9370,"0.257","0.257",1
Afghanistan,Landline,93,"0.27","0.27",1
Afghanistan,Roshan Mobile,9372,"0.255","0.255",1
Albania,OLO Mobile,3554249,"0.437","0.437",1
Albania,Amc Landline,35589,"0.204","0.204",1
Albania,Amc Landline,35588,"0.204","0.204",1
Albania,Amc Landline,35587,"0.204","0.204",1
Albania,Amc Landline,35586,"0.204","0.204",1
Albania,Amc Landline,35585,"0.204","0.204",1
Albania,Amc Landline,35584,"0.204","0.204",1
Albania,Tirana,3554,"0.206","0.206",1
Albania,Amc Landline,35582,"0.204","0.204",1
Albania,Amc Landline,35581,"0.204","0.204",1
Albania,Amc Landline,35572,"0.204","0.204",1
Albania,Amc Landline,35559,"0.204","0.204",1
Albania,Amc Landline,35558,"0.204","0.204",1
Albania,Amc Landline,35557,"0.204","0.204",1
Albania,Amc Landline,35556,"0.204","0.204",1
Albania,Amc Landline,35555,"0.204","0.204",1
Albania,Amc Landline,35554,"0.204","0.204",1
Albania,Amc Landline,35553,"0.204","0.204",1
Albania,Amc Landline,35552,"0.204","0.204",1
Albania,Amc Landline,35551,"0.204","0.204",1
Albania,Amc Landline,35549,"0.204","0.204",1
Albania,Amc Landline,35548,"0.204","0.204",1
Albania,Amc Landline,35547,"0.204","0.204",1
Albania,Amc Landline,35546,"0.204","0.204",1
Albania,Amc Landline,35539,"0.204","0.204",1
Albania,Amc Landline,35538,"0.204","0.204",1
Albania,Amc Landline,35537,"0.204","0.204",1
Albania,Amc Landline,35536,"0.204","0.204",1
Albania,Amc Landline,35535,"0.204","0.204",1
Albania,Amc Landline,35534,"0.204","0.204",1
Albania,Amc Landline,35533,"0.204","0.204",1
Albania,Amc Landline,35532,"0.204","0.204",1
Albania,Amc Landline,35531,"0.204","0.204",1
Albania,Amc Landline,35529,"0.204","0.204",1
Albania,Amc Landline,35528,"0.204","0.204",1
Albania,Amc Landline,35527,"0.204","0.204",1
Albania,Amc Landline,35526,"0.204","0.204",1
Albania,Amc Landline,35524,"0.204","0.204",1
Albania,Amc Landline,35522,"0.204","0.204",1
Albania,Amc Landline,35521,"0.204","0.204",1
Albania,Special Services,35534606,1200,1200,1
Albania,Special Services,35534607,1200,1200,1
Albania,Special Services,35534608,1200,1200,1
Albania,Special Services,35534609,1200,1200,1
Albania,Special Services,35535504,1200,1200,1
Albania,Special Services,35535505,1200,1200,1
Albania,Special Services,355424939,1200,1200,1
Albania,Special Services,35545750,1200,1200,1
Albania,Special Services,35545751,1200,1200,1
Albania,Special Services,35552450,1200,1200,1
Albania,Amc Landline,35583,"0.204","0.204",1
Albania,Vodafone Mobile,35569,"0.417","0.417",1
Albania,Amc Mobile,35568,"0.4","0.4",1
Albania,Eagle Mobile,35567,"0.48","0.48",1
Albania,Mobile Plus,35566,"0.459","0.459",1
Albania,OLO Mobile,3554252,"0.437","0.437",1
Albania,OLO Mobile,3554251,"0.437","0.437",1
Albania,OLO Mobile,3554250,"0.437","0.437",1
Albania,Landline,355,"0.201","0.201",1
Algeria,Nedjma Mobile,2135,"0.608","0.608",1
Algeria,Mobile,2139,"0.392","0.392",1
Algeria,Mobile,2137,"0.423","0.423",1
Algeria,Mobile,2136,"0.392","0.392",1
Algeria,Orascom Mobile,21379,"0.444","0.444",1
