"Target Pattern Name","Prefix","Per minute charge","Connection charge","Charge period"
"Afghanistan",+9377,0.273,0.273,1
"Afghanistan",+9379,0.255,0.255,1
"Afghanistan",+937,0.261,0.261,1
"Afghanistan",+9376,0.273,0.273,1
"Afghanistan",+9378,0.231,0.231,1
"Afghanistan",+9370,0.257,0.257,1
"Afghanistan",+93,0.27,0.27,1
"Afghanistan",+9372,0.255,0.255,1
"Albania",+3554249,0.437,0.437,1
"Albania",+35589,0.204,0.204,1
"Albania",+35588,0.204,0.204,1
"Albania",+35587,0.204,0.204,1
"Albania",+35586,0.204,0.204,1
"Albania",+35585,0.204,0.204,1
"Albania",+35584,0.204,0.204,1
"Albania",+3554,0.206,0.206,1
"Albania",+35582,0.204,0.204,1
"Albania",+35581,0.204,0.204,1
"Albania",+35572,0.204,0.204,1
"Albania",+35559,0.204,0.204,1
"Albania",+35558,0.204,0.204,1
"Albania",+35557,0.204,0.204,1
"Albania",+35556,0.204,0.204,1
"Albania",+35555,0.204,0.204,1
"Albania",+35554,0.204,0.204,1
"Albania",+35553,0.204,0.204,1
"Albania",+35552,0.204,0.204,1
"Albania",+35551,0.204,0.204,1
"Albania",+35549,0.204,0.204,1
"Albania",+35548,0.204,0.204,1
"Albania",+35547,0.204,0.204,1
"Albania",+35546,0.204,0.204,1
"Albania",+35539,0.204,0.204,1
"Albania",+35538,0.204,0.204,1
"Albania",+35537,0.204,0.204,1
"Albania",+35536,0.204,0.204,1
"Albania",+35535,0.204,0.204,1
"Albania",+35534,0.204,0.204,1
"Albania",+35533,0.204,0.204,1
"Albania",+35532,0.204,0.204,1
"Albania",+35531,0.204,0.204,1
"Albania",+35529,0.204,0.204,1
"Albania",+35528,0.204,0.204,1
"Albania",+35527,0.204,0.204,1
"Albania",+35526,0.204,0.204,1
"Albania",+35524,0.204,0.204,1
"Albania",+35522,0.204,0.204,1
"Albania",+35521,0.204,0.204,1
"Albania",+35534606,1200,1200,1
"Albania",+35534607,1200,1200,1
"Albania",+35534608,1200,1200,1
"Albania",+35534609,1200,1200,1
"Albania",+35535504,1200,1200,1
"Albania",+35535505,1200,1200,1
